config_id,axis,label,N,J,K,A,D_min,D_max,regime,group,phase,seed,operation,n_reps,reduced_repetitions,censored,budget_limited,wall_median_s,wall_iqr_s,wall_p90_s,wall_ci_lo_s,wall_ci_hi_s,wall_ci_rel_half_width,cpu_median_s,cpu_iqr_s,cpu_p90_s,peak_rss_bytes,legal_blocks_total,legal_blocks_times_skills,trace_occurrences,forward_states,forward_total_reductions,role_relation_density,role_mean_predecessors,loadavg_before_1m,loadavg_after_1m,speed_probe_median_s,speed_normalised_wall_median_s
A_sparse/N16_J128_K10_A10_D12_sparse_s20260822,A_sparse,A_sparse_10,16,128,10,10,3,12,sparse,primitives,main,20260822,ffbs_complete,20,0,0,0,0.056189021,0.006955647,0.060735725,0.052753375,0.058296001,0.049321,0.055297500,0.005095750,0.059165800,215482368,19440,194400,2048,20480,397600,0.237778,2.1400,15.52,15.00,nan,
A_sparse/N16_J128_K10_A10_D12_sparse_s20260822,A_sparse,A_sparse_10,16,128,10,10,3,12,sparse,primitives,main,20260822,forward_batched,15,0,0,0,0.019369833,0.001047584,0.023456150,0.018353583,0.019643542,0.033298,0.019276000,0.001293000,0.023015400,215482368,19440,194400,2048,20480,397600,0.237778,2.1400,15.52,15.00,nan,
A_sparse/N16_J128_K10_A20_D12_sparse_s20260822,A_sparse,A_sparse_20,16,128,10,20,3,12,sparse,build,main,20260822,emission_build,15,0,0,0,1.442172458,0.021001853,1.463610425,1.428674625,1.449478684,0.007213,1.413737000,0.017305000,1.431365800,229470208,19440,194400,2048,20480,397600,0.056842,1.0800,9.92,10.41,nan,
A_sparse/N16_J128_K10_A20_D12_sparse_s20260822,A_sparse,A_sparse_20,16,128,10,20,3,12,sparse,build,main,20260822,emission_cache_hit,15,0,0,0,0.000593583,0.000076625,0.000733842,0.000583875,0.000640083,0.047346,0.000592000,0.000077000,0.000715600,229470208,19440,194400,2048,20480,397600,0.056842,1.0800,9.92,10.41,nan,
A_sparse/N16_J128_K10_A20_D12_sparse_s20260822,A_sparse,A_sparse_20,16,128,10,20,3,12,sparse,cond,main,20260822,cond_plain,15,0,0,0,0.110762583,0.004380480,0.116971250,0.110340000,0.113975500,0.016411,0.109251000,0.003704000,0.113502400,367964160,19440,194400,2048,20480,397600,0.056842,1.0800,10.33,9.90,nan,
A_sparse/N16_J128_K10_A20_D12_sparse_s20260822,A_sparse,A_sparse_20,16,128,10,20,3,12,sparse,cond,main,20260822,cond_structural,15,0,0,0,1.543833500,0.012303459,1.564837775,1.538380583,1.549952292,0.003748,1.519981000,0.009988500,1.531541600,367964160,19440,194400,2048,20480,397600,0.056842,1.0800,10.33,9.90,nan,
A_sparse/N16_J128_K10_A20_D12_sparse_s20260822,A_sparse,A_sparse_20,16,128,10,20,3,12,sparse,marg,main,20260822,marg_plain,15,0,0,0,0.114464333,0.006866021,0.120621208,0.109711708,0.117289583,0.033101,0.111727000,0.005751500,0.116387800,370028544,19440,194400,2048,20480,397600,0.056842,1.0800,9.91,9.74,nan,
A_sparse/N16_J128_K10_A20_D12_sparse_s20260822,A_sparse,A_sparse_20,16,128,10,20,3,12,sparse,marg,main,20260822,marg_structural,15,0,0,0,1.634671500,0.019991333,1.653616758,1.627772375,1.647292709,0.005971,1.609324000,0.010889500,1.619707800,370028544,19440,194400,2048,20480,397600,0.056842,1.0800,9.91,9.74,nan,
A_sparse/N16_J128_K10_A20_D12_sparse_s20260822,A_sparse,A_sparse_20,16,128,10,20,3,12,sparse,primitives,main,20260822,backward_sample,15,0,0,0,0.039581917,0.003664250,0.041724600,0.037061833,0.040797083,0.047184,0.039404000,0.003136000,0.040380000,232292352,19440,194400,2048,20480,397600,0.056842,1.0800,10.30,10.33,nan,
A_sparse/N16_J128_K10_A20_D12_sparse_s20260822,A_sparse,A_sparse_20,16,128,10,20,3,12,sparse,primitives,main,20260822,ffbs_complete,15,0,0,0,0.069488792,0.004733250,0.075313250,0.066728917,0.071451667,0.033982,0.068036000,0.003052500,0.071279000,232292352,19440,194400,2048,20480,397600,0.056842,1.0800,10.30,10.33,nan,
A_sparse/N16_J128_K10_A20_D12_sparse_s20260822,A_sparse,A_sparse_20,16,128,10,20,3,12,sparse,primitives,main,20260822,forward_batched,22,0,0,0,0.029268084,0.004035636,0.033749499,0.028593458,0.031448917,0.048781,0.029090500,0.002575500,0.031921900,232292352,19440,194400,2048,20480,397600,0.056842,1.0800,10.30,10.33,nan,
A_sparse/N16_J128_K10_A30_D12_sparse_s20260822,A_sparse,A_sparse_30,16,128,10,30,3,12,sparse,build,main,20260822,emission_build,15,0,0,0,2.241765959,0.029263479,2.269651491,2.228601209,2.255462209,0.005991,2.201738000,0.017653500,2.209672600,245854208,19440,194400,2048,20480,397600,0.027241,0.7900,11.39,11.04,nan,
A_sparse/N16_J128_K10_A30_D12_sparse_s20260822,A_sparse,A_sparse_30,16,128,10,30,3,12,sparse,build,main,20260822,emission_cache_hit,18,0,0,0,0.000827166,0.000078260,0.000901233,0.000782604,0.000852917,0.042502,0.000826000,0.000078000,0.000899500,245854208,19440,194400,2048,20480,397600,0.027241,0.7900,11.39,11.04,nan,
A_sparse/N16_J128_K10_A30_D12_sparse_s20260822,A_sparse,A_sparse_30,16,128,10,30,3,12,sparse,cond,main,20260822,cond_plain,15,0,0,0,0.121145750,0.005438979,0.129609183,0.118438417,0.123097083,0.019228,0.119259000,0.004234000,0.122476000,382767104,19440,194400,2048,20480,397600,0.027241,0.7900,10.08,9.85,nan,
A_sparse/N16_J128_K10_A30_D12_sparse_s20260822,A_sparse,A_sparse_30,16,128,10,30,3,12,sparse,cond,main,20260822,cond_structural,15,0,0,0,2.289871250,0.020464355,2.322286775,2.279311917,2.295356875,0.003503,2.247777000,0.014919500,2.266930600,382767104,19440,194400,2048,20480,397600,0.027241,0.7900,10.08,9.85,nan,
A_sparse/N16_J128_K10_A30_D12_sparse_s20260822,A_sparse,A_sparse_30,16,128,10,30,3,12,sparse,marg,main,20260822,marg_plain,15,0,0,0,0.129996833,0.005271958,0.137882383,0.129351492,0.132369667,0.011609,0.125785000,0.005235000,0.131424200,392957952,19440,194400,2048,20480,397600,0.027241,0.7900,9.78,11.16,nan,
A_sparse/N16_J128_K10_A30_D12_sparse_s20260822,A_sparse,A_sparse_30,16,128,10,30,3,12,sparse,marg,main,20260822,marg_structural,15,0,0,0,2.595968083,0.054007229,2.643933984,2.580590416,2.636492625,0.010767,2.504141000,0.029260000,2.528240000,392957952,19440,194400,2048,20480,397600,0.027241,0.7900,9.78,11.16,nan,
A_sparse/N16_J128_K10_A30_D12_sparse_s20260822,A_sparse,A_sparse_30,16,128,10,30,3,12,sparse,primitives,main,20260822,backward_sample,26,0,0,0,0.041219313,0.005129105,0.043782271,0.038910625,0.042865916,0.047979,0.039925000,0.003132750,0.041967500,256552960,19440,194400,2048,20480,397600,0.027241,0.7900,11.04,11.11,nan,
A_sparse/N16_J128_K10_A30_D12_sparse_s20260822,A_sparse,A_sparse_30,16,128,10,30,3,12,sparse,primitives,main,20260822,ffbs_complete,40,0,0,0,0.068836583,0.009208479,0.078828854,0.066202729,0.072804271,0.047951,0.067535500,0.006527500,0.073871000,256552960,19440,194400,2048,20480,397600,0.027241,0.7900,11.04,11.11,nan,
A_sparse/N16_J128_K10_A30_D12_sparse_s20260822,A_sparse,A_sparse_30,16,128,10,30,3,12,sparse,primitives,main,20260822,forward_batched,38,0,0,0,0.031117229,0.005332438,0.034988041,0.030115875,0.033020254,0.046668,0.030406500,0.003541000,0.033456900,256552960,19440,194400,2048,20480,397600,0.027241,0.7900,11.04,11.11,nan,
A_sparse/N16_J128_K10_A50_D12_sparse_s20260822,A_sparse,A_sparse_50,16,128,10,50,3,12,sparse,build,main,20260822,emission_build,5,1,0,0,1.739419500,0.015376791,1.744239608,1.727505500,1.744336208,0.004838,1.739263000,0.015325000,1.744101800,201703424,19440,194400,2048,20480,397600,0.009102,0.4460,2.23,2.11,nan,
A_sparse/N16_J128_K10_A50_D12_sparse_s20260822,A_sparse,A_sparse_50,16,128,10,50,3,12,sparse,build,main,20260822,emission_cache_hit,5,1,0,0,0.000781125,0.000048000,0.000828575,0.000755583,0.000832458,0.049208,0.000780000,0.000048000,0.000828000,201703424,19440,194400,2048,20480,397600,0.009102,0.4460,2.23,2.11,nan,
A_sparse/N16_J128_K10_A50_D12_sparse_s20260822,A_sparse,A_sparse_50,16,128,10,50,3,12,sparse,cond,main,20260822,cond_plain,5,1,0,0,0.056193750,0.000285125,0.056225500,0.051668042,0.056234083,0.040628,0.056194000,0.000279000,0.056223200,326811648,19440,194400,2048,20480,397600,0.009102,0.4460,2.10,1.79,nan,
