config_id,axis,label,N,J,K,A,D_min,D_max,regime,group,phase,seed,peak_rss_bytes,peak_rss_mib,dense_block_table_bytes,dense_copies_live_in_this_group,batched_stack_bytes_worst_class,alpha_chart_bytes,batched_alpha_r_bytes,fast_cumulative_bytes,predicted_arrays_total_bytes,predicted_process_rss_bytes,projected_banded_bytes_NOT_IMPLEMENTED,projected_banded_saving_ratio_NOT_IMPLEMENTED,swap_used_mb
J/N16_J384_K10_A20_D12_full_s20260822,J,J_384,16,384,10,20,3,12,full,build,main,20260822,549912576,524.44,189235200,1,189235200,492800,985600,5867520,385816320,616503040,4889600,38.70157068062827,1531.38
J/N16_J384_K10_A20_D12_full_s20260822,J,J_384,16,384,10,20,3,12,full,cond,main,20260822,1525649408,1454.97,189235200,2,189235200,492800,985600,5867520,575051520,805738240,4889600,38.70157068062827,1563.38
J/N16_J384_K10_A20_D12_full_s20260822,J,J_384,16,384,10,20,3,12,full,marg,main,20260822,1462407168,1394.66,189235200,2,189235200,492800,985600,5867520,575051520,805738240,4889600,38.70157068062827,1531.38
J/N16_J384_K10_A20_D12_full_s20260822,J,J_384,16,384,10,20,3,12,full,primitives,main,20260822,642535424,612.77,189235200,1,189235200,492800,985600,5867520,385816320,616503040,4889600,38.70157068062827,1563.38
J/N16_J48_K10_A20_D12_full_s20260822,J,J_48,16,48,10,20,3,12,full,build,main,20260822,141795328,135.23,3010560,1,3010560,62720,125440,706560,6915840,237602560,588800,5.113043478260869,1563.38
J/N16_J48_K10_A20_D12_full_s20260822,J,J_48,16,48,10,20,3,12,full,cond,main,20260822,171642880,163.69,3010560,2,3010560,62720,125440,706560,9926400,240613120,588800,5.113043478260869,1563.38
J/N16_J48_K10_A20_D12_full_s20260822,J,J_48,16,48,10,20,3,12,full,marg,main,20260822,172453888,164.46,3010560,2,3010560,62720,125440,706560,9926400,240613120,588800,5.113043478260869,1563.38
J/N16_J48_K10_A20_D12_full_s20260822,J,J_48,16,48,10,20,3,12,full,primitives,main,20260822,138063872,131.67,3010560,1,3010560,62720,125440,706560,6915840,237602560,588800,5.113043478260869,1563.38
J/N16_J768_K10_A20_D12_full_s20260822,J,J_768,16,768,10,20,3,12,full,build,main,20260822,1041154048,992.92,755957760,1,755957760,984320,1968640,11765760,1526634240,1757320960,9804800,77.10078328981723,1531.38
J/N16_J768_K10_A20_D12_full_s20260822,J,J_768,16,768,10,20,3,12,full,cond,main,20260822,3637415936,3468.91,755957760,2,755957760,984320,1968640,11765760,2282592000,2513278720,9804800,77.10078328981723,1531.38
J/N16_J768_K10_A20_D12_full_s20260822,J,J_768,16,768,10,20,3,12,full,marg,main,20260822,4429135872,4223.95,755957760,2,755957760,984320,1968640,11765760,2282592000,2513278720,9804800,77.10078328981723,1531.38
J/N16_J768_K10_A20_D12_full_s20260822,J,J_768,16,768,10,20,3,12,full,primitives,main,20260822,1794965504,1711.81,755957760,1,755957760,984320,1968640,11765760,1526634240,1757320960,9804800,77.10078328981723,1531.38
J/N16_J96_K10_A20_D12_full_s20260822,J,J_96,16,96,10,20,3,12,full,build,main,20260822,180969472,172.59,11919360,1,11919360,124160,248320,1443840,25655040,256341760,1203200,9.906382978723403,1563.38
J/N16_J96_K10_A20_D12_full_s20260822,J,J_96,16,96,10,20,3,12,full,cond,main,20260822,266051584,253.73,11919360,2,11919360,124160,248320,1443840,37574400,268261120,1203200,9.906382978723403,1563.38
J/N16_J96_K10_A20_D12_full_s20260822,J,J_96,16,96,10,20,3,12,full,marg,main,20260822,276004864,263.22,11919360,2,11919360,124160,248320,1443840,37574400,268261120,1203200,9.906382978723403,1563.38
J/N16_J96_K10_A20_D12_full_s20260822,J,J_96,16,96,10,20,3,12,full,primitives,main,20260822,168267776,160.47,11919360,1,11919360,124160,248320,1443840,25655040,256341760,1203200,9.906382978723403,1563.38
K/N32_J128_K10_A20_D12_full_s20260822,K,K_10,32,128,10,20,3,12,full,build,main,20260822,342110208,326.26,42270720,1,42270720,330240,660480,3870720,89402880,320089600,3225600,13.104761904761904,1539.38
K/N32_J128_K10_A20_D12_full_s20260822,K,K_10,32,128,10,20,3,12,full,cond,main,20260822,595898368,568.29,42270720,2,42270720,330240,660480,3870720,131673600,362360320,3225600,13.104761904761904,1539.38
K/N32_J128_K10_A20_D12_full_s20260822,K,K_10,32,128,10,20,3,12,full,marg,main,20260822,588914688,561.63,42270720,2,42270720,330240,660480,3870720,131673600,362360320,3225600,13.104761904761904,1539.38
K/N32_J128_K10_A20_D12_full_s20260822,K,K_10,32,128,10,20,3,12,full,primitives,main,20260822,356806656,340.28,42270720,1,42270720,330240,660480,3870720,89402880,320089600,3225600,13.104761904761904,1539.38
K/N32_J128_K20_A20_D12_full_s20260822,K,K_20,32,128,20,20,3,12,full,build,main,20260822,398544896,380.08,84541440,1,84541440,660480,1320960,7741440,178805760,409492480,6451200,13.104761904761904,1539.38
K/N32_J128_K20_A20_D12_full_s20260822,K,K_20,32,128,20,20,3,12,full,cond,main,20260822,899633152,857.96,84541440,2,84541440,660480,1320960,7741440,263347200,494033920,6451200,13.104761904761904,1539.38
K/N32_J128_K20_A20_D12_full_s20260822,K,K_20,32,128,20,20,3,12,full,marg,main,20260822,924311552,881.49,84541440,2,84541440,660480,1320960,7741440,263347200,494033920,6451200,13.104761904761904,1539.38
K/N32_J128_K20_A20_D12_full_s20260822,K,K_20,32,128,20,20,3,12,full,primitives,main,20260822,464846848,443.31,84541440,1,84541440,660480,1320960,7741440,178805760,409492480,6451200,13.104761904761904,1539.38
K/N32_J128_K3_A20_D12_full_s20260822,K,K_3,32,128,3,20,3,12,full,build,main,20260822,222900224,212.57,12681216,1,12681216,99072,198144,1161216,26820864,257507584,967680,13.104761904761904,1563.38
K/N32_J128_K3_A20_D12_full_s20260822,K,K_3,32,128,3,20,3,12,full,cond,main,20260822,314429440,299.86,12681216,2,12681216,99072,198144,1161216,39502080,270188800,967680,13.104761904761904,1563.38
K/N32_J128_K3_A20_D12_full_s20260822,K,K_3,32,128,3,20,3,12,full,marg,main,20260822,311529472,297.1,12681216,2,12681216,99072,198144,1161216,39502080,270188800,967680,13.104761904761904,1563.38
K/N32_J128_K3_A20_D12_full_s20260822,K,K_3,32,128,3,20,3,12,full,primitives,main,20260822,200343552,191.06,12681216,1,12681216,99072,198144,1161216,26820864,257507584,967680,13.104761904761904,1563.38
K/N32_J128_K40_A20_D12_full_s20260822,K,K_40,32,128,40,20,3,12,full,build,main,20260822,509415424,485.82,169082880,1,169082880,1320960,2641920,15482880,357611520,588298240,12902400,13.104761904761904,1531.38
K/N32_J128_K40_A20_D12_full_s20260822,K,K_40,32,128,40,20,3,12,full,cond,main,20260822,1575362560,1502.38,169082880,2,169082880,1320960,2641920,15482880,526694400,757381120,12902400,13.104761904761904,1531.38
K/N32_J128_K40_A20_D12_full_s20260822,K,K_40,32,128,40,20,3,12,full,marg,main,20260822,1595887616,1521.96,169082880,2,169082880,1320960,2641920,15482880,526694400,757381120,12902400,13.104761904761904,1531.38
