config_id,axis,label,N,J,K,A,D_min,D_max,regime,group,phase,seed,operation,rep_index,wall_seconds,cpu_seconds
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,primitives,main,20260822,backward_sample,6,0.042767541,0.039795000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,primitives,main,20260822,backward_sample,7,0.041263792,0.037773000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,primitives,main,20260822,backward_sample,8,0.034928209,0.034366000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,primitives,main,20260822,backward_sample,9,0.042880917,0.039682000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,primitives,main,20260822,backward_sample,10,0.044849625,0.040006000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,primitives,main,20260822,backward_sample,11,0.037754541,0.036682000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,primitives,main,20260822,backward_sample,12,0.041251250,0.038814000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,primitives,main,20260822,backward_sample,13,0.044773041,0.040870000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,primitives,main,20260822,backward_sample,14,0.039700208,0.038743000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,primitives,main,20260822,backward_sample,15,0.036842667,0.036265000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,primitives,main,20260822,ffbs_complete,0,0.060323250,0.056375000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,primitives,main,20260822,ffbs_complete,1,0.053345333,0.051329000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,primitives,main,20260822,ffbs_complete,2,0.065176875,0.059724000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,primitives,main,20260822,ffbs_complete,3,0.055030167,0.053249000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,primitives,main,20260822,ffbs_complete,4,0.061101875,0.059178000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,primitives,main,20260822,ffbs_complete,5,0.065578042,0.061906000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,primitives,main,20260822,ffbs_complete,6,0.055957666,0.054986000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,primitives,main,20260822,ffbs_complete,7,0.056958000,0.056051000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,primitives,main,20260822,ffbs_complete,8,0.066590291,0.061705000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,primitives,main,20260822,ffbs_complete,9,0.053718792,0.052492000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,primitives,main,20260822,ffbs_complete,10,0.062031417,0.057431000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,primitives,main,20260822,ffbs_complete,11,0.048020500,0.047590000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,primitives,main,20260822,ffbs_complete,12,0.060574042,0.057924000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,primitives,main,20260822,ffbs_complete,13,0.060674667,0.056813000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,primitives,main,20260822,ffbs_complete,14,0.063196375,0.058697000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,primitives,main,20260822,ffbs_complete,15,0.050971166,0.050026000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,primitives,main,20260822,ffbs_complete,16,0.061074292,0.056852000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,primitives,main,20260822,ffbs_complete,17,0.060840875,0.057314000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,primitives,main,20260822,forward_batched,0,0.028921833,0.024281000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,primitives,main,20260822,forward_batched,1,0.020497209,0.019426000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,primitives,main,20260822,forward_batched,2,0.024109042,0.022595000
